x (m), y (m), th (rad), stamp, 
2.610797882080078, -2.9646658897399902, 1.014936101882019, 1759502838778190826, 
2.610797882080078, -2.9646658897399902, 1.014936101882019, 1759502838828289694, 
2.610797882080078, -2.9646658897399902, 1.014936101882019, 1759502838878313202, 
2.610797882080078, -2.9646658897399902, 1.014936101882019, 1759502838919029686, 
2.610797882080078, -2.9646658897399902, 1.014936101882019, 1759502838988558157, 
2.610797882080078, -2.9646658897399902, 1.014936101882019, 1759502839018694266, 
2.610797882080078, -2.9646658897399902, 1.014936101882019, 1759502839068471806, 
2.610797882080078, -2.9646658897399902, 1.014936101882019, 1759502839128545745, 
2.610797882080078, -2.9646658897399902, 1.014936101882019, 1759502839178314516, 
2.610797882080078, -2.9646658897399902, 1.014936101882019, 1759502839228154230, 
2.610797882080078, -2.9646658897399902, 1.014936101882019, 1759502839279322525, 
2.610797882080078, -2.9646658897399902, 1.014936101882019, 1759502839318086494, 
2.610797882080078, -2.9646658897399902, 1.014936101882019, 1759502839368844389, 
2.610797882080078, -2.9646658897399902, 1.014936101882019, 1759502839414479928, 
2.6110339164733887, -2.9644651412963867, 1.0173216897869897, 1759502839482375389, 
2.6124825477600098, -2.9616291522979736, 1.0268820426658984, 1759502839533211204, 
2.6144981384277344, -2.9588723182678223, 1.0353646389956999, 1759502839574319157, 
2.6162376403808594, -2.955535888671875, 1.0424674427520597, 1759502839628128175, 
2.61747670173645, -2.9534261226654053, 1.0509320188650073, 1759502839673274693, 
2.6188254356384277, -2.9512624740600586, 1.0627292444294125, 1759502839723780981, 
2.6198203563690186, -2.948760986328125, 1.0746241856307537, 1759502839773794407, 
2.621103286743164, -2.946916341781616, 1.0836529463591873, 1759502839812956991, 
2.622997999191284, -2.942908525466919, 1.0969590421855246, 1759502839883396891, 
2.6244547367095947, -2.9402976036071777, 1.1052123171901589, 1759502839933192798, 
2.6254870891571045, -2.9382593631744385, 1.1139691088961257, 1759502839974173091, 
2.6266324520111084, -2.935565710067749, 1.1270708358184955, 1759502840028137432, 
2.6280980110168457, -2.932873010635376, 1.137523921678134, 1759502840079344012, 
2.6291234493255615, -2.9306321144104004, 1.1450668445354297, 1759502840118257528, 
2.6307857036590576, -2.926598310470581, 1.1584696956579688, 1759502840188884776, 
2.631589889526367, -2.924903631210327, 1.163717820494272, 1759502840218830631, 
2.6329047679901123, -2.921696662902832, 1.1763958838813842, 1759502840277920049, 
2.6340651512145996, -2.9191019535064697, 1.1871589204685187, 1759502840328217817, 
2.6352157592773438, -2.9163177013397217, 1.197642811323775, 1759502840378164871, 
2.6362528800964355, -2.9133260250091553, 1.2076309879344178, 1759502840427195714, 
2.6373727321624756, -2.9105780124664307, 1.216325346355173, 1759502840479462486, 
2.638152599334717, -2.9083399772644043, 1.223799228757859, 1759502840518429415, 
2.639516592025757, -2.9046378135681152, 1.2384919845072986, 1759502840588857002, 
2.6400985717773438, -2.90309739112854, 1.2450661299601606, 1759502840618016323, 
2.64117169380188, -2.899627923965454, 1.257961276554904, 1759502840678789664, 
2.6421101093292236, -2.89680814743042, 1.2671732998931822, 1759502840728155896, 
2.6430015563964844, -2.894040584564209, 1.2765551505927406, 1759502840778167876, 
2.643702745437622, -2.8913044929504395, 1.287005937195543, 1759502840828177845, 
2.644582748413086, -2.888657569885254, 1.2966859943848816, 1759502840874369003, 
2.645303964614868, -2.8860108852386475, 1.3059859217904897, 1759502840917960613, 
2.6458797454833984, -2.8832767009735107, 1.3160674328070028, 1759502840968389646, 
2.6467363834381104, -2.88042950630188, 1.3259429213162715, 1759502841018726499, 
2.6474609375, -2.8768560886383057, 1.3371662416725512, 1759502841078409730, 
2.6482279300689697, -2.8740761280059814, 1.3470336655882393, 1759502841128333406, 
2.6488401889801025, -2.871149778366089, 1.3577150369559852, 1759502841178360721, 
2.6494243144989014, -2.868274211883545, 1.3678626430890863, 1759502841229150633, 
2.6500134468078613, -2.865588665008545, 1.3767672076771806, 1759502841274473203, 
2.650667428970337, -2.8616771697998047, 1.3886476478064445, 1759502841338647357, 
2.6512579917907715, -2.858752489089966, 1.3988961107415963, 1759502841389315567, 
2.651632785797119, -2.85681414604187, 1.4054061714235133, 1759502841417942151, 
2.6520204544067383, -2.8532674312591553, 1.4168415881267882, 1759502841478394174, 
2.6525332927703857, -2.850353479385376, 1.4266895070662509, 1759502841528215068, 
2.6528830528259277, -2.8475823402404785, 1.4372515547627478, 1759502841578209486, 
2.6532323360443115, -2.8446238040924072, 1.4476899500636289, 1759502841629423983, 
2.653688669204712, -2.841723918914795, 1.457704554276418, 1759502841675229741, 
2.6538689136505127, -2.8392581939697266, 1.466696608926457, 1759502841718034961, 
2.654308557510376, -2.835113286972046, 1.481246028862687, 1759502841789265122, 
2.654583692550659, -2.832432508468628, 1.4909986957510346, 1759502841835804726, 
2.654662847518921, -2.8298428058624268, 1.4995322116237533, 1759502841878056423, 
2.655097246170044, -2.826791524887085, 1.5096792475270022, 1759502841928154912, 
2.655245542526245, -2.823850631713867, 1.5194998871709218, 1759502841978201591, 
2.655223846435547, -2.8211450576782227, 1.528778306247135, 1759502842025215262, 
2.6554486751556396, -2.8180062770843506, 1.5403370354311074, 1759502842076258361, 
2.6554739475250244, -2.815556287765503, 1.5488547822779357, 1759502842118383600, 
2.6556477546691895, -2.8117194175720215, 1.561750958353193, 1759502842186208305, 
2.6556906700134277, -2.8087222576141357, 1.5712678796015893, 1759502842236072328, 
2.655546188354492, -2.8061938285827637, 1.578661515096088, 1759502842278812791, 
2.655604600906372, -2.803238868713379, 1.5889152797393562, 1759502842328218391, 
2.6554336547851562, -2.800370931625366, 1.5990250700889597, 1759502842378225643, 
2.655348062515259, -2.7976391315460205, 1.6086560198360018, 1759502842426231470, 
2.6554129123687744, -2.794663906097412, 1.6190875385707733, 1759502842476595752, 
2.655092239379883, -2.790794849395752, 1.6311282443916935, 1759502842538823236, 
2.655073642730713, -2.7891619205474854, 1.6369585457180258, 1759502842568522480, 
2.654878616333008, -2.785950183868408, 1.646525130310965, 1759502842618452760, 
2.6545422077178955, -2.7824478149414062, 1.6578708783978149, 1759502842678404888, 
2.6544342041015625, -2.7797012329101562, 1.6681989102542063, 1759502842728266244, 
2.65413236618042, -2.7769052982330322, 1.6790942839358125, 1759502842779343905, 
2.653844118118286, -2.7739381790161133, 1.6883006466884491, 1759502842826232554, 
2.6535582542419434, -2.7709970474243164, 1.6984468919601283, 1759502842876305595, 
2.6531198024749756, -2.7685673236846924, 1.7072729813388863, 1759502842919331102, 
2.652604818344116, -2.7645509243011475, 1.7211266723885899, 1759502842987086171, 
2.652357816696167, -2.7625625133514404, 1.7280866519733755, 1759502843020638531, 
2.651660442352295, -2.758997678756714, 1.7398389908952099, 1759502843079340685, 
2.6512465476989746, -2.7559804916381836, 1.7493122004231783, 1759502843130159832, 
2.650630474090576, -2.753063917160034, 1.7594326109286393, 1759502843180482590, 
2.6500439643859863, -2.750342607498169, 1.768404155991606, 1759502843227729861, 
2.6494357585906982, -2.7473042011260986, 1.7794365058438648, 1759502843277966160, 
2.648918390274048, -2.7449145317077637, 1.7882323843623598, 1759502843318175335, 
2.6483042240142822, -2.742033004760742, 1.7976052148121249, 1759502843368639940, 
2.6475892066955566, -2.739025592803955, 1.8076417474314157, 1759502843418781991, 
2.646704912185669, -2.7356185913085938, 1.8195798067774416, 1759502843478504054, 
2.6460225582122803, -2.732656717300415, 1.8299060562972593, 1759502843529542995, 
2.6451690196990967, -2.7298429012298584, 1.8404583059758197, 1759502843578689939, 
2.644399881362915, -2.727046012878418, 1.8503291171189375, 1759502843627951851, 
2.64359450340271, -2.7241315841674805, 1.8603737085231526, 1759502843678518795, 
2.6427695751190186, -2.7218360900878906, 1.8679398869975055, 1759502843718307419, 
2.642045259475708, -2.7190802097320557, 1.8783082896880685, 1759502843769524643, 
2.641132116317749, -2.7163455486297607, 1.8888896600661083, 1759502843818807982, 
2.6399502754211426, -2.7128844261169434, 1.9009416855791277, 1759502843878442541, 
2.6390678882598877, -2.709961414337158, 1.9108371605661478, 1759502843928141853, 
2.637856960296631, -2.7071139812469482, 1.9199556811800098, 1759502843977943059, 
2.63688063621521, -2.704333543777466, 1.9301274353468212, 1759502844028460521, 
2.6358864307403564, -2.701540946960449, 1.9403858884341032, 1759502844078423749, 
2.6345160007476807, -2.698383331298828, 1.9524265843653847, 1759502844138505855, 
2.6338748931884766, -2.6966042518615723, 1.9586434834023978, 1759502844169326327, 
2.6321489810943604, -2.6925735473632812, 1.9717442245036843, 1759502844238326902, 
2.631244659423828, -2.6903655529022217, 1.979279609946381, 1759502844278217561, 
2.6301519870758057, -2.6875500679016113, 1.99026625680197, 1759502844329691772, 
2.6287827491760254, -2.684924364089966, 1.99966718805471, 1759502844378214147, 
2.627556562423706, -2.6822428703308105, 2.0100923415640457, 1759502844428241625, 
2.6263175010681152, -2.6793935298919678, 2.020171193872096, 1759502844478304339, 
2.625098466873169, -2.677182197570801, 2.027141600842976, 1759502844518895986, 
2.6237998008728027, -2.6744813919067383, 2.0372119286426877, 1759502844569840462, 
2.62195086479187, -2.671111583709717, 2.0517644131790225, 1759502844638459627, 
