e (m), e_dot (m/s), e_int, stamp, 
0.9107035675994317, -0.19909457153829202, 0.19584115013050904, 1761311484483402682, 
0.8814470362429253, -0.20090685605624178, 0.1741075209908453, 1761311484579235801, 
0.8525714692914813, -0.20194101719716895, 0.16918558802951478, 1761311484675315764, 
0.8237120183823706, -0.20054882366509086, 0.16362963712184223, 1761311484771159425, 
0.7894693117656907, -0.2022198099668707, 0.17088720434095472, 1761311484883228582, 
0.7602612521452502, -0.2030854695542866, 0.16474944007715606, 1761311484979400536, 
0.7306633822800378, -0.20456604893865826, 0.1456803562013423, 1761311485074880147, 
0.697172449618239, -0.20235898161120477, 0.15186215758399982, 1761311485187611806, 
0.6703689012474737, -0.19202245449487568, 0.14604060547307762, 1761311485283688091, 
0.6577731966385141, -0.18091914528563327, 0.09709890936013679, 1761311485331439701, 
0.6213808022452151, -0.17224884837266044, 0.12451702058837708, 1761311485475299619, 
0.5978416566842044, -0.16650677724586657, 0.14974316024843373, 1761311485570774022, 
0.5869985335351194, -0.15641351256659908, 0.0867983634174907, 1761311485619465306, 
0.5618207683904063, -0.14941176976484108, 0.09334303813883434, 1761311485731096558, 
0.5325993521937502, -0.1421212119812152, 0.14412114261951364, 1761311485876607349, 
0.5104636452865858, -0.13386499882488867, 0.13682269317042609, 1761311485986858432, 
0.5041811975057534, -0.1317920466464506, 0.07351208184962145, 1761311486019142216, 
0.4824612570460791, -0.12941672595764211, 0.07208311811816842, 1761311486131303341, 
0.4562263609366369, -0.12475580661750134, 0.12380385812942003, 1761311486276554096, 
0.4402582423404747, -0.11638826994364393, 0.11031139409368826, 1761311486371294041, 
0.4318836041812196, -0.11492151163938001, 0.06299313944694444, 1761311486418818430, 
0.4131738220407427, -0.11420698846011973, 0.06853336220231453, 1761311486531254813, 
0.38930472188376974, -0.11070947044384323, 0.10552340806458964, 1761311486675283054, 
0.3820698534012146, -0.10535556562707711, 0.07587076668526502, 1761311486723405932, 
0.3683848699181397, -0.09785293699450782, 0.05458569861806287, 1761311486818959947, 
0.34508254472840755, -0.09610911537119209, 0.09353616124833954, 1761311486979543712, 
0.33807979374465, -0.09699570497105765, 0.07311346329587023, 1761311487027548195, 
0.32607054977229144, -0.08993857033451642, 0.04874632999228212, 1761311487124444846, 
0.3072482678998773, -0.08056316046240426, 0.0831339458378889, 1761311487284293299, 
0.29560238893682816, -0.080095406992854, 0.07892404549586703, 1761311487379334211, 
0.29016135486371986, -0.07866661703348661, 0.042565289539312434, 1761311487427287869, 
0.2788634728820142, -0.07663969373404331, 0.04178136456383435, 1761311487524303154, 
0.26199954560141586, -0.07387010889119354, 0.07129811256535985, 1761311487684674228, 
0.25717665338289064, -0.06960933137518198, 0.05503590418543159, 1761311487731194764, 
0.24274928478274035, -0.067931454266084, 0.048412331513020476, 1761311487875292599, 
0.2318943931459673, -0.0658352076735784, 0.06234210157103791, 1761311487986757908, 
0.22733361511933978, -0.06362289450962935, 0.03749762869926582, 1761311488035544059, 
0.21487739529810587, -0.060042328383262566, 0.043266976038775724, 1761311488179310775, 
0.20732652095903567, -0.055099079013400054, 0.051912385998910925, 1761311488275310278, 
