x (m), y (m), theta (rad), stamp, 
1.0509576797485352, 1.0186671018600464, 1.161130161085928, 1761312172792598771, 
1.0607789754867554, 1.0415847301483154, 1.1640482207415208, 1761312172890609227, 
1.0697563886642456, 1.062703013420105, 1.167263854272875, 1761312172985535417, 
1.0784307718276978, 1.0838510990142822, 1.1713643909460163, 1761312173081263325, 
1.0875575542449951, 1.1053235530853271, 1.1746886167991266, 1761312173176081061, 
1.097745418548584, 1.1303646564483643, 1.1773662925336916, 1761312173289614081, 
1.106132984161377, 1.1513534784317017, 1.1796677821364678, 1761312173385533675, 
1.114160418510437, 1.1714184284210205, 1.1832794741472905, 1761312173479807030, 
1.123437762260437, 1.1946330070495605, 1.1879761060636091, 1761312173591891115, 
1.1311159133911133, 1.2141766548156738, 1.190775367312041, 1761312173689601894, 
1.1386581659317017, 1.2336152791976929, 1.1943707934404473, 1761312173785543610, 
1.1456401348114014, 1.2519521713256836, 1.1964140883243763, 1761312173881687718, 
1.1537827253341675, 1.2734966278076172, 1.2002419177442727, 1761312173992809234, 
1.1606788635253906, 1.2916992902755737, 1.2026590981627605, 1761312174088623998, 
1.1675719022750854, 1.3098160028457642, 1.206520391316786, 1761312174185542015, 
1.1752653121948242, 1.330613613128662, 1.2071989676970742, 1761312174298276948, 
1.1816964149475098, 1.3473856449127197, 1.2091297877306597, 1761312174392645746, 
1.1879462003707886, 1.3640536069869995, 1.2096582041410977, 1761312174489602268, 
1.1940423250198364, 1.3805352449417114, 1.2113008083603929, 1761312174585552049, 
1.2007653713226318, 1.39945387840271, 1.2122241601576575, 1761312174697193423, 
1.2063956260681152, 1.4147803783416748, 1.2144110908759376, 1761312174792640941, 
1.2122098207473755, 1.4304507970809937, 1.2148062830370874, 1761312174889630396, 
1.2177786827087402, 1.4457088708877563, 1.2176006318090777, 1761312174985556653, 
1.2241860628128052, 1.4632161855697632, 1.2176006318090777, 1761312175098647088, 
1.229241132736206, 1.4773952960968018, 1.2176006318090777, 1761312175192615786, 
1.2344595193862915, 1.4916350841522217, 1.2195847454733832, 1761312175288631065, 
1.2394973039627075, 1.5061982870101929, 1.2195847454733832, 1761312175385559951, 
1.2443177700042725, 1.5199353694915771, 1.2220546473623712, 1761312175481600337, 
1.2499445676803589, 1.5355955362319946, 1.2234133012746518, 1761312175591931407, 
1.2545121908187866, 1.5490959882736206, 1.2248362424128736, 1761312175689638109, 
1.2593168020248413, 1.5627284049987793, 1.2254417187109732, 1761312175786570536, 
1.263687252998352, 1.5753811597824097, 1.2254417187109732, 1761312175881616445, 
1.2686045169830322, 1.5896590948104858, 1.226438497427312, 1761312175992816961, 
1.272995114326477, 1.6020687818527222, 1.2269501284714432, 1761312176089728454, 
1.277316927909851, 1.6142359972000122, 1.2269501284714432, 1761312176186960722, 
1.281410813331604, 1.6257964372634888, 1.2280036138471389, 1761312176281619433, 
1.2860585451126099, 1.6392216682434082, 1.2284830829173392, 1761312176393482298, 
1.289759874343872, 1.6505953073501587, 1.228950468203467, 1761312176488794001, 
1.2936924695968628, 1.6618695259094238, 1.2294619825059347, 1761312176585403103, 
1.2976962327957153, 1.673088788986206, 1.2280602201260031, 1761312176681620586, 
1.3021862506866455, 1.6855937242507935, 1.2280603591676351, 1761312176793184876, 
1.3059368133544922, 1.6961421966552734, 1.2280603591676351, 1761312176888857850, 
1.3097343444824219, 1.7066375017166138, 1.2277767903259595, 1761312176985665439, 
1.3134454488754272, 1.716783046722412, 1.2268893487110768, 1761312177081112765, 
1.3173325061798096, 1.728442907333374, 1.2278780508677807, 1761312177194724259, 
1.320794939994812, 1.7384363412857056, 1.2283510656604206, 1761312177288788974, 
1.3245741128921509, 1.7493836879730225, 1.2286968979032413, 1761312177385613432, 
1.327317476272583, 1.7581043243408203, 1.2300774858945773, 1761312177481629898, 
1.3308589458465576, 1.768853783607483, 1.2317948033991475, 1761312177592945425, 
1.3340916633605957, 1.7781635522842407, 1.2325992822154548, 1761312177689632904, 
1.337379813194275, 1.7870137691497803, 1.2325992822154548, 1761312177785624444, 
1.340685486793518, 1.795822262763977, 1.2331188459351865, 1761312177881629551, 
1.3440437316894531, 1.8050662279129028, 1.2331188459351865, 1761312177993174199, 
1.3467432260513306, 1.8134021759033203, 1.2334607617027424, 1761312178089635087, 
1.3495773077011108, 1.8218170404434204, 1.2325664420543225, 1761312178185668912, 
1.3512076139450073, 1.8257166147232056, 1.2316351960878735, 1761312178233687861, 
1.3556294441223145, 1.8386383056640625, 1.2328250339712061, 1761312178394501803, 
1.3583019971847534, 1.8461889028549194, 1.2328250339712061, 1761312178489665628, 
1.3607414960861206, 1.8542336225509644, 1.232534785010305, 1761312178585632705, 
1.3635634183883667, 1.861842155456543, 1.2321442206510234, 1761312178682650185, 
1.3659734725952148, 1.868851900100708, 1.2329871862490003, 1761312178777697815, 
1.3672373294830322, 1.873768925666809, 1.233758093746006, 1761312178842650343, 
